1126,contains,MOUS YOUHAME,,0.00,,,,,0
1127,contains,Navigo Annuel,,0.00,,,,,0
1128,contains,NESLEAUTOCONTR,,0.00,,,,,0
1129,contains,NESPRESSO,,0.00,,,,,0
1130,contains,NORAUTO,,0.00,,,,,0
1131,contains,Norrsken Finance ,,0.00,,,,,0
1132,contains,PARNASSE-MAIF,,0.00,,,,,0
1133,contains,PAUL,,0.00,,,,,0
1134,contains,PAYPAL,,0.00,,,,,0
1135,contains,PHARMACIE,,0.00,,,,,0
1136,contains,PHIE DE LA GAR,,0.00,,,,,0
1137,contains,PHILIPPE DE BU,,0.00,,,,,0
1138,contains,PIZZA,,0.00,,,,,0
1139,contains,PIZZERIA DI RO,,0.00,,,,,0
1140,contains,POINT P,,0.00,,,,,0
1141,startsWith,PRELEVEMENT DE ,,0.00,2,4,,,0
1142,contains,PRESSING,,0.00,,,,,0
1143,contains,RATP,,0.00,,,,,0
1144,contains,REL.NOISYLEGRA,,0.00,,,,,0
1145,contains,RESTAURANT CHE,,0.00,,,,,0
1146,contains,RESTAURATION GUERMAN,,0.00,,,,,0
1147,contains,RETOUR A SAIGON NOISY,,0.00,,,,,0
1148,contains,RETRAIT DAB,,0.00,2,,,,0
1149,contains,SANEF,,0.00,,,,,0
1150,contains,SARL FLEURS DE,,0.00,,,,,0
1151,contains,SARL PIL POIL,,0.00,,,,,0
1152,contains,SERGENT MAJOR,,0.00,,,,,0
1153,contains,SERV A LA PERS,,0.00,,,,,0
1154,contains,SFR,,0.00,,,,,0
1155,contains,SNC BOULANGER,,0.00,,,,,0
1156,contains,STATION AVIA,,0.00,,,,,0
1157,contains,SUSHI NOISIEL,,0.00,,,,,0
1158,contains,TELEREGLEMENT DE SFDE,,0.00,,,,,0
1159,contains,TRUFFAUT COUTEVROULT,,0.00,,,,,0
1160,contains,UGC BORNES,,0.00,,,,,0
1161,contains,UGC MARNE,,0.00,,,,,0
1162,contains,UNION MUTUALIST,,0.00,,,,,0
1163,contains,UR  AUVERGNE,,0.00,,,,,0
1164,startsWith,URBIS PARK,,0.00,,,,,0
1165,contains,URSSAF,==,156.58,,,,,0
1166,contains,URSSAF D AUVERGNE,,0.00,,,,,0
1167,contains,VIADUC DE MILL,,0.00,,,,,0
1168,contains,VINCIPARK,,0.00,,,,,0
1169,contains,VINCPARK,,0.00,,,,,0
1170,contains,VIREMENT DE C.A.F,,0.00,,,,,0
1171,contains,VIREMENT DE CAF,,0.00,,,,,0
1172,contains,VIREMENT DE DRFIP PARIS TRESOR P,,0.00,1,,,,0
1173,contains,VIREMENT DE RGF MFP,,0.00,,,,,0
1174,contains,VIREMENT POUR TERRENERGIE COMPTE,,0.00,,,,,0
1175,contains,VIRGIN,,0.00,,,,,0
1176,contains,ZOE KIDS,,0.00,,,,,0
